N_intento	Edad	Género	Movimientos
1	50	M	23456,1,,864
1	41	M	23456,1,,1153
1	41	M	3456,1,2,1631
1	41	M	3456,,12,829
1	41	M	456,3,12,1054
1	41	M	1456,3,2,1440
1	41	M	1456,23,,888
1	41	M	456,123,,1694
1	41	M	56,123,4,1190
1	41	M	156,23,4,2175
1	41	M	56,23,14,1265
1	41	M	256,3,14,1145
1	41	M	1256,3,4,1370
1	41	M	1256,,34,1040
1	41	M	256,1,34,942
1	41	M	56,1,234,1290
1	41	M	56,,1234,960
1	41	M	6,5,1234,694
1	41	M	6,15,234,2400
1	41	M	26,15,34,1092
1	41	M	126,5,34,713
1	41	M	126,35,4,876
1	41	M	26,135,4,3421
1	41	M	6,135,24,1133
1	41	M	6,35,124,924
1	41	M	36,5,124,2575
1	41	M	36,15,24,828
1	41	M	236,15,4,1167
1	41	M	1236,5,4,1271
1	41	M	1236,45,,554
1	41	M	236,145,,1441
1	41	M	36,145,2,1038
1	41	M	36,45,12,731
1	41	M	6,345,12,777
1	41	M	16,345,2,779
1	41	M	16,2345,,682
1	41	M	6,12345,,890
1	41	M	,12345,6,1167
1	41	M	1,2345,6,1465
1	41	M	,2345,16,1120
1	41	M	2,345,16,705
1	41	M	12,345,6,1020
1	41	M	12,45,36,892
1	41	M	2,145,36,688
1	41	M	,145,236,988
1	41	M	,45,1236,665
1	41	M	4,5,1236,504
1	41	M	14,5,236,1353
1	41	M	14,25,36,617
1	41	M	4,125,36,1260
1	41	M	34,125,6,817
1	41	M	34,25,16,794
1	41	M	234,5,16,680
1	41	M	1234,5,6,1042
1	41	M	1234,,56,728
1	41	M	234,,156,1042
1	41	M	34,2,156,2420
1	41	M	34,12,56,736
1	41	M	4,12,356,946
1	41	M	14,2,356,487
1	41	M	14,,2356,698
1	41	M	4,,12356,962
1	41	M	,4,12356,664
1	41	M	1,4,2356,1775
1	41	M	1,24,356,712
1	41	M	,124,356,779
1	41	M	3,124,56,817
1	41	M	3,24,156,743
1	41	M	23,4,156,645
1	41	M	123,4,56,753
1	41	M	123,,456,594
1	41	M	23,,1456,958
1	41	M	3,2,1456,842
1	41	M	3,12,456,576
1	41	M	,12,3456,891
1	41	M	1,2,3456,413
1	41	M	1,,23456,914
2	41	M	123456,,,958
1	25	M	23456,1,,2846
1	25	M	3456,1,2,913
1	25	M	3456,,12,2027
1	25	M	456,3,12,1827
1	25	M	1456,3,2,915
1	25	M	1456,23,,735
1	25	M	456,123,,671
1	25	M	56,123,4,849
1	25	M	56,23,14,1131
1	25	M	256,3,14,735
1	25	M	1256,3,4,959
1	25	M	1256,,34,722
1	25	M	256,1,34,751
1	25	M	56,1,234,576
1	25	M	56,,1234,1152
1	25	M	6,5,1234,608
1	25	M	16,5,234,1348
1	25	M	16,25,34,880
1	25	M	6,125,34,740
1	25	M	36,125,4,896
1	25	M	36,25,14,900
1	25	M	236,5,14,768
1	25	M	1236,5,4,895
1	25	M	1236,45,,768
1	25	M	236,145,,640
1	25	M	36,145,2,760
1	25	M	36,45,12,704
1	25	M	6,345,12,673
1	25	M	16,345,2,766
1	25	M	16,2345,,964
1	25	M	6,12345,,1071
1	25	M	,12345,6,1439
1	25	M	,2345,16,670
1	25	M	2,345,16,735
1	25	M	12,345,6,1360
1	25	M	12,45,36,580
1	25	M	2,145,36,607
1	25	M	,145,236,1210
1	25	M	,45,1236,672
1	25	M	4,5,1236,1075
1	25	M	14,5,236,848
1	25	M	14,25,36,719
1	25	M	4,125,36,1007
1	25	M	34,125,6,940
1	25	M	34,25,16,767
1	25	M	234,5,16,624
1	25	M	1234,5,6,783
1	25	M	1234,,56,895
1	25	M	234,1,56,2387
1	25	M	34,1,256,637
1	25	M	34,,1256,623
1	25	M	4,3,1256,704
1	25	M	14,3,256,856
1	25	M	14,23,56,575
1	25	M	4,123,56,671
1	25	M	,123,456,2300
1	25	M	,23,1456,563
1	25	M	2,3,1456,767
1	25	M	12,3,456,751
1	25	M	12,,3456,763
1	25	M	2,1,3456,751
1	25	M	,1,23456,947
2	25	M	123456,,,1287
4	25	M	23456,,1,1555
4	25	M	3456,2,1,655
4	25	M	13456,2,,835
4	25	M	3456,12,,690
4	25	M	456,12,3,1087
4	25	M	1456,2,3,1619
4	25	M	1456,,23,863
4	25	M	456,,123,863
4	25	M	456,,123,911
4	25	M	1456,,23,847
4	25	M	1456,,23,1555
4	25	M	456,,123,819
1	8	F	123456,,,6
1	8	F	23456,1,,1719
1	8	F	3456,1,2,1959
1	8	F	3456,,12,3107
1	8	F	456,3,12,1312
1	8	F	1456,3,2,1948
1	8	F	1456,23,,1748
1	8	F	456,123,,1481
1	8	F	56,123,4,2127
1	8	F	56,23,14,1163
1	8	F	256,3,14,1720
1	8	F	1256,,34,1869
1	8	F	256,1,34,1471
1	8	F	56,1,234,1988
1	8	F	56,,1234,1699
1	8	F	6,5,1234,1701
1	8	F	6,5,1234,6
1	8	F	16,5,234,1580
1	8	F	16,25,34,1375
1	8	F	6,125,34,1373
1	8	F	36,125,4,2870
1	8	F	36,25,14,1743
1	8	F	236,5,14,1143
1	8	F	236,15,4,666
1	8	F	236,15,4,633
1	8	F	236,15,4,689
1	8	F	1236,5,4,2545
1	8	F	1236,45,,2489
1	8	F	236,45,1,1646
1	8	F	36,245,1,1301
1	8	F	36,245,1,860
1	8	F	136,245,,3903
1	8	F	136,45,2,1648
1	8	F	36,45,12,1463
1	8	F	6,345,12,1695
1	8	F	6,345,12,3882
1	8	F	16,345,2,1373
1	8	F	6,1345,2,1621
1	8	F	26,1345,,3038
1	8	F	26,345,1,1470
1	8	F	6,2345,1,1133
1	8	F	6,12345,,1352
1	8	F	,12345,6,1510
1	8	F	,2345,16,892
1	8	F	,2345,16,853
1	8	F	2,345,16,1890
1	8	F	12,345,6,2941
1	8	F	12,45,36,1631
1	8	F	2,145,36,1461
1	8	F	,145,236,1350
1	8	F	,45,1236,1807
1	8	F	4,5,1236,886
1	8	F	4,15,236,1108
1	8	F	24,15,36,2226
1	8	F	124,5,36,2035
1	8	F	124,35,6,2307
1	8	F	24,35,16,1154
1	8	F	24,135,6,961
1	8	F	4,135,26,1411
1	8	F	4,35,126,1590
1	8	F	34,5,126,2449
1	8	F	34,15,26,1824
1	8	F	34,15,26,3505
1	8	F	234,15,6,1898
1	8	F	1234,5,6,1703
1	8	F	1234,,56,1077
1	8	F	234,,156,1037
1	8	F	34,2,156,1596
1	8	F	34,12,56,1667
1	8	F	34,2,156,1958
1	8	F	34,12,56,2476
1	8	F	4,12,356,1081
1	8	F	14,2,356,1954
1	8	F	14,2,356,1392
1	8	F	4,2,1356,1808
1	8	F	24,,1356,2594
1	8	F	124,,356,2187
1	8	F	124,3,56,1018
1	8	F	124,3,56,2825
1	8	F	24,3,156,2142
1	8	F	4,23,156,1163
1	8	F	4,123,56,1261
1	8	F	,123,456,1929
1	8	F	,23,1456,1074
1	8	F	2,3,1456,921
1	8	F	12,3,456,1350
1	8	F	12,,3456,1556
1	8	F	2,1,3456,833
